fecha;tiempo;MODELO_CONTROLADOR;VERSION_SOFTWARE;ZONA_MUERTA_ACEL_INF;ZONA_MUERTA_ACEL_SUP;ZONA_MUERTA_FRENO_INF;ZONA_MUERTA_FRENO_SUP;VALOR_PEDAL_ACELERADOR;VALOR_PEDAL_FRENO;VALOR_POTENCIA_CONTROL;VALOR_ALIMENTACION_AUX_5V;VALOR_ALIMENTACION_B+;VALOR_CORRIENTE_FASE_A;VALOR_CORRIENTE_FASE_B;VALOR_CORRIENTE_FASE_C;VALOR_VOLTAJE_FASE_A;VALOR_VOLTAJE_FASE_B;VALOR_VOLTAJE_FASE_C;DUTY_CYCLE_PWM;ROTACION_MOTOR;TEMP_MOTOR;TEMP_CONTROLADOR_INT;TEMP_CONTROLADOR_1;TEMP_CONTROLADOR_2;RPM_MECANICAS;CORRIENTE_ACTUAL;ACELERADOR;FRENO;MARCHA_ATRAS
05/10/2012;10:34:55;KBL72401;42;10;90;20;80;0;0;80,81;4,96;81,18;130;129;131;0,37;0,37;0,37;100;0;8;25;19;19;0;6;0;0;0
05/10/2012;10:34:55;KBL72401;42;10;90;20;80;0;0;80,81;4,96;80,81;130;129;131;0,37;0,37;0,37;100;0;8;25;19;19;0;6;0;0;0
05/10/2012;10:34:56;KBL72401;42;10;90;20;80;0;0;80,81;4,96;81,18;130;129;131;0,37;0,37;0,37;100;0;8;25;19;19;0;6;0;0;0
05/10/2012;10:34:57;KBL72401;42;10;90;20;80;0;0;80,81;4,96;81,18;130;129;131;0,37;0,37;0,37;100;0;8;25;19;19;0;6;0;0;0
05/10/2012;10:34:57;KBL72401;42;10;90;20;80;0;0;80,81;4,96;80,81;130;129;131;0,37;0,37;0,37;100;0;8;25;19;19;0;6;0;0;0
05/10/2012;10:34:58;KBL72401;42;10;90;20;80;0;0;80,81;4,96;80,81;130;129;131;0,37;0,37;0,37;100;0;8;25;19;19;0;6;0;0;0
05/10/2012;10:34:59;KBL72401;42;10;90;20;80;0;0;80,81;4,96;81,18;130;129;131;0,37;0,37;0,37;100;0;8;25;19;19;0;6;0;0;0
05/10/2012;10:34:59;KBL72401;42;10;90;20;80;0;0;80,81;4,96;80,81;130;129;131;0,37;0,37;0,37;100;0;8;25;19;19;0;6;0;0;0
05/10/2012;10:35:00;KBL72401;42;10;90;20;80;0;0;80,81;4,96;80,81;130;129;131;0,37;0,37;0,37;100;0;8;25;19;19;0;6;0;0;0
05/10/2012;10:35:01;KBL72401;42;10;90;20;80;0;0;80,81;4,96;80,81;130;129;131;0,37;0,37;0,37;100;0;8;25;19;19;0;6;0;0;0
05/10/2012;10:35:02;KBL72401;42;10;90;20;80;0;0;80,81;4,96;80,81;130;129;131;0,37;0,37;0,37;100;0;8;25;19;19;0;6;0;0;0
05/10/2012;10:35:02;KBL72401;42;10;90;20;80;0;0;80,81;4,96;81,18;130;129;131;0,37;0,37;0,37;100;0;8;25;19;19;0;6;0;0;0
05/10/2012;10:35:03;KBL72401;42;10;90;20;80;0;0;80,81;4,96;81,18;130;129;131;0,37;0,37;0,37;100;0;8;25;19;19;0;6;0;0;0
05/10/2012;10:35:04;KBL72401;42;10;90;20;80;0;0;80,81;4,96;81,18;130;129;131;0,37;0,37;0,37;100;0;8;25;19;19;0;6;0;0;0
05/10/2012;10:35:04;KBL72401;42;10;90;20;80;0;0;80,81;4,96;81,18;130;129;131;0,37;0,37;0,37;100;0;8;25;19;19;0;6;0;0;0
05/10/2012;10:35:05;KBL72401;42;10;90;20;80;0;0;80,81;4,96;81,18;130;129;131;0,37;0,37;0,37;100;0;8;25;19;19;0;6;0;0;0
05/10/2012;10:35:06;KBL72401;42;10;90;20;80;0;0;80,81;4,96;81,18;130;129;131;0,37;0,37;0,37;100;0;8;25;19;19;0;6;0;0;0
05/10/2012;10:35:06;KBL72401;42;10;90;20;80;0;0;80,81;4,96;80,81;130;129;131;0,37;0,37;0,37;100;0;8;25;19;19;0;6;0;0;0
05/10/2012;10:35:07;KBL72401;42;10;90;20;80;0;0;80,81;4,96;81,18;130;129;131;0,37;0,37;0,37;100;0;8;25;19;19;0;6;0;0;0
05/10/2012;10:35:08;KBL72401;42;10;90;20;80;0;0;80,81;4,96;80,81;130;129;131;0,37;0,37;0,37;100;0;8;26;19;19;0;6;0;0;0
05/10/2012;10:35:09;KBL72401;42;10;90;20;80;0;0;80,81;4,96;80,81;130;129;131;0,37;0,37;0,37;100;0;8;26;19;19;0;6;0;0;0
05/10/2012;10:35:09;KBL72401;42;10;90;20;80;0;0;80,81;4,96;81,18;130;129;131;0,37;0,37;0,37;100;0;8;26;19;19;0;6;0;0;0
05/10/2012;10:35:10;KBL72401;42;10;90;20;80;0;0;80,81;4,96;81,18;130;129;131;0,37;0,37;0,37;100;0;8;26;19;19;0;6;0;0;0
05/10/2012;10:35:11;KBL72401;42;10;90;20;80;0;0;80,81;4,96;81,18;130;129;131;0,37;0,37;0,37;100;0;8;26;19;19;0;6;0;0;0
05/10/2012;10:35:11;KBL72401;42;10;90;20;80;0;0;80,81;4,96;80,81;130;129;131;0,37;0,37;0,37;100;0;8;26;19;19;0;6;0;0;0
05/10/2012;10:35:12;KBL72401;42;10;90;20;80;0;0;80,81;4,96;81,18;130;129;131;0,37;0,37;0,37;100;0;8;26;19;19;0;6;0;0;0
05/10/2012;10:35:13;KBL72401;42;10;90;20;80;0;0;80,81;4,96;81,18;130;129;131;0,37;0,37;0,37;100;0;8;26;19;19;0;6;0;0;0
05/10/2012;10:35:13;KBL72401;42;10;90;20;80;0;0;80,81;4,96;81,18;130;129;131;0,37;0,37;0,37;100;0;8;26;19;19;0;6;0;0;0
05/10/2012;10:35:14;KBL72401;42;10;90;20;80;0;0;80,81;4,96;80,81;130;129;131;0,37;0,37;0,37;100;0;8;26;19;19;0;6;0;0;0
05/10/2012;10:35:15;KBL72401;42;10;90;20;80;0;0;80,81;4,96;80,81;130;129;131;0,37;0,37;0,37;100;0;8;26;19;19;0;6;0;0;0
05/10/2012;10:35:16;KBL72401;42;10;90;20;80;0;0;80,81;4,96;80,81;130;129;131;0,37;0,37;0,37;100;0;8;26;19;19;0;6;0;0;0
05/10/2012;10:35:16;KBL72401;42;10;90;20;80;0;0;80,81;4,96;80,81;130;129;131;0,37;0,37;0,37;100;0;8;26;19;19;0;6;0;0;0
05/10/2012;10:35:17;KBL72401;42;10;90;20;80;0;0;80,81;4,96;80,81;130;129;131;0,37;0,37;0,37;100;0;8;26;19;19;0;6;0;0;0
05/10/2012;10:35:18;KBL72401;42;10;90;20;80;0;0;80,81;4,96;80,81;130;129;131;0,37;0,37;0,37;100;0;8;26;19;19;0;6;0;0;0
05/10/2012;10:35:18;KBL72401;42;10;90;20;80;0;0;80,81;4,96;81,18;130;129;131;0,37;0,37;0,37;100;0;8;26;19;19;0;6;0;0;0
05/10/2012;10:35:19;KBL72401;42;10;90;20;80;0;0;80,81;4,96;81,18;130;129;131;0,37;0,37;0,37;100;0;8;26;19;19;0;6;0;0;0
05/10/2012;10:35:20;KBL72401;42;10;90;20;80;0;0;80,81;4,96;81,18;130;129;131;0,37;0,37;0,37;100;0;8;26;19;19;0;6;0;0;0
05/10/2012;10:35:20;KBL72401;42;10;90;20;80;0;0;80,81;4,96;81,18;130;129;131;0,37;0,37;0,37;100;0;8;26;19;19;0;6;0;0;0
05/10/2012;10:35:21;KBL72401;42;10;90;20;80;0;0;80,81;4,96;81,18;130;129;131;0,37;0,37;0,37;100;0;8;26;19;19;0;6;0;0;0
05/10/2012;10:35:22;KBL72401;42;10;90;20;80;0;0;80,81;4,96;81,18;130;129;131;0,37;0,37;0,37;100;0;8;26;19;19;0;6;0;0;0
05/10/2012;10:35:23;KBL72401;42;10;90;20;80;0;0;80,81;4,96;80,81;130;129;131;0,37;0,37;0,37;100;0;8;26;19;19;0;6;0;0;0
05/10/2012;10:35:23;KBL72401;42;10;90;20;80;0;0;80,81;4,96;81,18;130;129;131;0,37;0,37;0,37;100;0;8;26;19;19;0;6;0;0;0
05/10/2012;10:35:24;KBL72401;42;10;90;20;80;0;0;80,81;4,96;81,18;130;129;131;0,37;0,37;0,37;100;0;8;26;19;19;0;6;0;0;0
05/10/2012;10:35:25;KBL72401;42;10;90;20;80;0;0;80,81;4,96;81,18;130;129;131;0,37;0,37;0,37;100;0;8;26;19;19;0;6;0;0;0
05/10/2012;10:35:25;KBL72401;42;10;90;20;80;0;0;80,81;4,96;81,18;130;129;131;0,37;0,37;0,37;100;0;8;26;19;19;0;6;0;0;0
05/10/2012;10:35:26;KBL72401;42;10;90;20;80;0;0;80,81;4,96;80,81;130;129;131;0,37;0,37;0,37;100;0;8;27;19;19;0;6;0;0;0
05/10/2012;10:35:27;KBL72401;42;10;90;20;80;0;0;80,81;4,96;81,18;130;129;131;0,37;0,37;0,37;100;0;8;27;19;19;0;6;0;0;0
05/10/2012;10:35:27;KBL72401;42;10;90;20;80;0;0;80,81;4,96;81,18;130;129;131;0,37;0,37;0,37;100;0;8;27;19;19;0;6;0;0;0
05/10/2012;10:35:28;KBL72401;42;10;90;20;80;0;0;80,81;4,96;81,18;130;129;131;0,37;0,37;0,37;100;0;8;27;19;19;0;6;0;0;0
05/10/2012;10:35:29;KBL72401;42;10;90;20;80;0;0;80,81;4,96;81,18;130;129;131;0,37;0,37;0,37;100;0;8;27;19;19;0;6;0;0;0
05/10/2012;10:35:30;KBL72401;42;10;90;20;80;0;0;80,81;4,96;81,18;130;129;131;0,37;0,37;0,37;100;0;8;27;19;19;0;6;0;0;0
05/10/2012;10:35:30;KBL72401;42;10;90;20;80;0;0;80,81;4,96;81,18;130;129;131;0,37;0,37;0,37;100;0;8;27;19;19;0;6;0;0;0
05/10/2012;10:35:31;KBL72401;42;10;90;20;80;0;0;80,81;4,96;81,18;130;129;131;0,37;0,37;0,37;100;0;8;27;19;19;0;6;0;0;0
05/10/2012;10:35:32;KBL72401;42;10;90;20;80;0;0;80,81;4,96;81,18;130;129;131;0,37;0,37;0,37;100;0;8;27;19;19;0;6;0;0;0
05/10/2012;10:35:32;KBL72401;42;10;90;20;80;0;0;80,81;4,96;81,18;130;129;131;0,37;0,37;0,37;100;0;8;27;19;19;0;6;0;0;0
05/10/2012;10:35:33;KBL72401;42;10;90;20;80;0;0;80,81;4,96;81,18;130;129;131;0,37;0,37;0,37;100;0;8;27;19;19;0;6;0;0;0
05/10/2012;10:35:34;KBL72401;42;10;90;20;80;0;0;80,81;4,96;81,55;130;129;131;0,37;0,37;0,37;100;0;8;27;19;19;0;6;0;0;0
05/10/2012;10:35:34;KBL72401;42;10;90;20;80;0;0;80,81;4,96;81,18;130;129;131;0,37;0,37;0,37;100;0;8;27;19;19;0;6;0;0;0
05/10/2012;10:35:35;KBL72401;42;10;90;20;80;0;0;80,81;4,96;80,81;130;129;131;0,37;0,37;0,37;100;0;8;27;19;19;0;6;0;0;0
05/10/2012;10:35:36;KBL72401;42;10;90;20;80;0;0;80,81;4,96;81,18;130;129;131;0,37;0,37;0,37;100;0;8;27;19;19;0;6;0;0;0
05/10/2012;10:35:37;KBL72401;42;10;90;20;80;0;0;80,81;4,96;80,81;130;129;131;0,37;0,37;0,37;100;0;8;27;19;19;0;6;0;0;0
05/10/2012;10:35:37;KBL72401;42;10;90;20;80;0;0;80,81;4,96;80,81;130;129;131;0,37;0,37;0,37;100;0;8;27;19;19;0;6;0;0;0
05/10/2012;10:35:38;KBL72401;42;10;90;20;80;0;0;80,81;4,96;81,55;130;129;131;0,37;0,37;0,37;100;0;8;27;19;19;0;6;0;0;0
05/10/2012;10:35:39;KBL72401;42;10;90;20;80;0;0;80,81;4,96;81,55;130;129;131;0,37;0,37;0,37;100;0;8;27;19;19;0;6;0;0;0
05/10/2012;10:35:39;KBL72401;42;10;90;20;80;0,37;0;80,81;4,96;81,18;130;129;131;0,37;0,37;0,37;100;0;8;27;19;19;0;6;0;0;0
05/10/2012;10:35:40;KBL72401;42;10;90;20;80;0,76;0,02;80,44;4,96;80,44;130;143;113;0,74;0,37;2,58;5;1;8;27;19;19;10;44;0;0;0
05/10/2012;10:35:41;KBL72401;42;10;90;20;80;0,75;0;80,07;4,96;80,07;130;105;148;1,11;4,06;0,37;7;1;8;27;19;19;26;44;0;0;0
05/10/2012;10:35:41;KBL72401;42;10;90;20;80;0,75;0;80,07;4,96;80,07;106;155;131;4,06;0,74;1,48;7;1;8;27;19;19;2059;26;8;8;8
05/10/2012;10:35:42;KBL72401;42;10;90;20;80;0,75;0;80,07;4,96;80,07;144;129;108;0,37;1,11;4,06;7;1;8;27;19;19;48;20;0;0;0
05/10/2012;10:35:43;KBL72401;42;10;90;20;80;0,75;0;80,07;4,96;80,07;132;117;138;0,74;4,43;0,37;7;1;8;27;19;19;57;20;0;0;0
05/10/2012;10:35:44;KBL72401;42;10;90;20;80;0,76;0;80,44;4,96;80,44;138;132;116;0,37;0,74;4,43;7;1;8;27;19;19;60;18;0;0;0
05/10/2012;10:35:44;KBL72401;42;10;90;20;80;0,75;0;80,44;4,96;80,44;118;138;131;4,43;0,37;1,85;7;1;8;27;19;19;66;13;0;0;0
05/10/2012;10:35:45;KBL72401;42;10;90;20;80;0,76;0;80,44;4,96;80,81;130;134;121;1,11;0,37;4,43;7;1;8;27;19;19;67;13;0;0;0
05/10/2012;10:35:46;KBL72401;42;10;90;20;80;0,76;0;80,44;4,96;81,18;130;135;121;0,74;0,37;4,43;7;1;8;27;19;19;73;17;0;0;0
05/10/2012;10:35:46;KBL72401;42;10;90;20;80;0,76;0;80,44;4,96;80,81;135;121;134;0,37;4,43;0,37;7;1;8;27;19;19;73;12;0;0;0
05/10/2012;10:35:47;KBL72401;42;10;90;20;80;0,76;0;80,44;4,96;80,81;117;132;131;4,43;0,37;2,21;7;1;8;27;19;19;71;16;0;0;0
05/10/2012;10:35:48;KBL72401;42;10;90;20;80;0,76;0;80,44;4,96;80,81;117;129;141;4,43;0,37;0,37;7;1;8;27;19;19;74;14;0;0;0
05/10/2012;10:35:48;KBL72401;42;10;90;20;80;0,76;0;80,81;4,96;80,81;135;133;120;0,37;0,37;4,43;7;1;8;27;19;19;77;10;0;0;0
05/10/2012;10:35:49;KBL72401;42;10;90;20;80;0,76;0;80,81;4,96;80,81;120;136;131;4,8;0,37;1,48;7;1;8;27;19;19;75;8;0;0;0
05/10/2012;10:35:50;KBL72401;42;10;90;20;80;0,76;0;80,44;4,96;80,81;130;132;123;2,21;0,37;4,43;7;1;8;27;22;19;76;10;0;0;0
05/10/2012;10:35:51;KBL72401;42;10;90;20;80;0,76;0;80,44;4,96;80,81;131;121;133;0,74;4,43;0,37;7;1;8;27;19;19;83;10;0;0;0
05/10/2012;10:35:51;KBL72401;42;10;90;20;80;0,76;0;80,44;4,96;80,81;134;129;120;0,37;0,74;4,43;7;1;8;27;19;19;81;9;0;0;0
05/10/2012;10:35:52;KBL72401;42;10;90;20;80;0,76;0;80,44;4,96;80,81;130;132;123;2,21;0,37;4,43;7;1;8;27;19;19;77;9;0;0;0
05/10/2012;10:35:53;KBL72401;42;10;90;20;80;0,76;0;80,81;4,96;80,44;122;129;135;4,43;0,74;0,37;7;1;8;27;19;19;81;8;0;0;0
05/10/2012;10:35:53;KBL72401;42;10;90;20;80;0,76;0;80,81;4,96;80,81;131;123;133;0,37;4,8;0,37;7;1;8;27;19;19;81;10;0;0;0
05/10/2012;10:35:54;KBL72401;42;10;90;20;80;0,76;0;80,81;4,96;80,81;134;129;120;0,37;2,21;4,43;7;1;8;28;19;19;73;12;0;0;0
05/10/2012;10:35:55;KBL72401;42;10;90;20;80;0,76;0;80,81;4,96;81,18;133;130;121;0,37;0,74;4,43;7;1;8;27;22;19;80;9;0;0;0
05/10/2012;10:35:55;KBL72401;42;10;90;20;80;0,76;0;80,44;4,96;80,81;133;129;121;0,37;1,11;4,43;7;1;8;27;22;19;79;10;0;0;0
05/10/2012;10:35:56;KBL72401;42;10;90;20;80;0,76;0;80,81;4,96;80,81;133;129;121;0,37;2,21;4,43;7;1;8;28;22;19;79;12;0;0;0
05/10/2012;10:35:57;KBL72401;42;10;90;20;80;0,76;0;80,81;4,96;80,81;133;129;121;0,37;1,48;4,43;7;1;8;28;22;19;83;9;0;0;0
05/10/2012;10:35:58;KBL72401;42;10;90;20;80;0,76;0;80,44;4,96;80,81;132;123;122;0,37;4,8;4,8;7;1;8;28;19;19;79;14;0;0;0
05/10/2012;10:35:58;KBL72401;42;10;90;20;80;0,76;0;80,44;4,96;80,81;130;121;133;1,48;4,8;0,37;7;1;8;28;22;19;80;8;0;0;0
05/10/2012;10:35:59;KBL72401;42;10;90;20;80;0,76;0;80,44;4,96;80,81;121;135;131;4,43;0,37;0,74;7;1;8;28;22;19;78;12;0;0;0
05/10/2012;10:36:00;KBL72401;42;10;90;20;80;0,76;0;80,81;4,96;80,81;122;129;134;4,43;2,21;0,37;7;1;8;28;22;19;76;8;0;0;0
05/10/2012;10:36:00;KBL72401;42;10;90;20;80;0,76;0;80,44;4,96;80,81;130;132;123;1,11;0,37;4,43;7;1;8;28;22;22;75;8;0;0;0
05/10/2012;10:36:01;KBL72401;42;10;90;20;80;0,47;0;80,81;4,96;81,18;130;130;131;4,06;0,74;0,74;5;0;8;28;22;19;74;6;0;0;0
05/10/2012;10:36:02;KBL72401;42;10;90;20;80;0,27;0;80,81;4,96;81,18;130;130;131;3,32;0;1,85;5;0;8;28;22;19;67;6;0;0;0
05/10/2012;10:36:02;KBL72401;42;10;90;20;80;0,24;0;80,81;4,96;80,81;131;129;131;0;3,32;1,48;5;0;8;28;22;19;64;6;0;0;0
05/10/2012;10:36:03;KBL72401;42;10;90;20;80;0;0;80,81;4,96;80,81;130;130;131;2,21;0;2,58;5;0;8;28;22;19;58;6;0;0;0
05/10/2012;10:36:04;KBL72401;42;10;90;20;80;0;0;80,81;4,96;80,81;130;129;131;1,85;2,58;0;5;0;8;28;22;19;51;6;0;0;0
05/10/2012;10:36:05;KBL72401;42;10;90;20;80;0;0;80,81;4,96;80,81;130;130;131;2,21;0;0,74;5;0;8;28;22;19;41;6;0;0;0
05/10/2012;10:36:05;KBL72401;42;10;90;20;80;0;0;80,81;4,96;81,18;131;129;131;0;1,85;0,74;5;0;8;28;22;19;31;6;0;0;0
05/10/2012;10:36:06;KBL72401;42;10;90;20;80;0;0;80,81;4,96;81,18;131;129;131;0;1,11;0,37;5;0;8;28;22;19;18;6;0;0;0
05/10/2012;10:36:07;KBL72401;42;10;90;20;80;0;0;80,81;4,96;81,18;130;130;131;0,37;0,37;0,37;5;0;8;28;22;19;4;6;0;0;0
05/10/2012;10:36:07;KBL72401;42;10;90;20;80;0;0;80,81;4,96;81,18;131;129;131;0,37;0,37;0,37;5;0;8;28;22;19;4;6;0;0;0
